"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"1",1,24.61,574111.64,300366.97,24.61,TRUE
"2",2,24.17,574115.93,300461.34,24.17,TRUE
"3",3,23.9,574105.83,300363.97,23.9,TRUE
"4",4,23.79,574127.89,300399.59,23.79,TRUE
"5",5,23.75,574107.91,300389.3,23.75,TRUE
"6",6,23.71,574169.33,300375.81,23.71,TRUE
"7",7,23.66,574113.21,300367.79,23.66,TRUE
"8",8,23.64,574170.65,300402.05,23.64,TRUE
"9",9,23.63,574108.09,300378.66,23.63,TRUE
"10",10,23.61,574105.75,300367.55,23.61,TRUE
"11",11,23.59,574113.24,300422.19,23.59,TRUE
"12",12,23.53,574123.22,300422.5,23.53,TRUE
"13",13,23.5,574130.46,300399.72,23.5,TRUE
"14",14,23.49,574128.92,300400.16,23.49,TRUE
"15",15,23.49,574111.6,300365.23,23.49,TRUE
"16",16,23.41,574090.75,300379.08,23.41,TRUE
"17",17,23.41,574126.05,300410.06,23.41,TRUE
"18",18,23.41,574173.41,300393.32,23.41,TRUE
"19",19,23.38,574104.83,300369.23,23.38,TRUE
"20",20,23.29,574108.64,300390.57,23.29,TRUE
"21",21,23.29,574110.75,300364.49,23.29,TRUE
"22",22,23.28,574096.85,300363.87,23.28,TRUE
"23",23,23.21,574138.9,300355.94,23.21,TRUE
"24",24,23.21,574114.83,300462.82,23.21,TRUE
"25",25,23.2,574122.02,300403.62,23.2,TRUE
"26",26,23.17,574109.76,300366.93,23.17,TRUE
"27",27,23.17,574143.93,300365.02,23.17,TRUE
"28",28,23.11,574126.4,300330.8,23.11,TRUE
"29",29,23.08,574129.37,300405.38,23.08,TRUE
"30",30,23.08,574098.6,300399.95,23.08,TRUE
"31",31,23.07,574114.19,300457.37,23.07,TRUE
"32",32,23.05,574090.26,300405.73,23.05,TRUE
"33",33,23.01,574171.72,300384.74,23.01,TRUE
"34",35,22.98,574125.21,300454.44,22.98,TRUE
"35",36,22.96,574112.37,300413.89,22.96,TRUE
"36",37,22.95,574099.43,300389.67,22.95,TRUE
"37",38,22.94,574169.05,300392.64,22.94,TRUE
"38",39,22.94,574149.33,300340.07,22.94,TRUE
"39",40,22.93,574132.7,300411.2,22.93,TRUE
"40",41,22.93,574102.94,300381.91,22.93,TRUE
"41",42,22.92,574112.23,300421.89,22.92,TRUE
"42",43,22.91,574102.98,300379.28,22.91,TRUE
"43",44,22.9,574092.37,300378.05,22.9,TRUE
"44",45,22.9,574132.78,300405.91,22.9,TRUE
"45",46,22.89,574103.77,300377.85,22.89,TRUE
"46",47,22.89,574107.1,300379.17,22.89,TRUE
"47",48,22.87,574133.92,300406.62,22.87,TRUE
"48",49,22.86,574167.74,300366.12,22.86,TRUE
"49",50,22.86,574169.98,300396.37,22.86,TRUE
"50",51,22.85,574125.54,300386.54,22.85,TRUE
"51",52,22.85,574114.11,300461.79,22.85,TRUE
"52",53,22.85,574094.43,300391.63,22.85,TRUE
"53",54,22.84,574105.46,300381.75,22.84,TRUE
"54",55,22.84,574092.78,300392.88,22.84,TRUE
"55",56,22.8,574081.22,300369.46,22.8,TRUE
"56",57,22.78,574107.32,300365.92,22.78,TRUE
"57",58,22.78,574126.4,300387.11,22.78,TRUE
"58",59,22.77,574123.36,300411.89,22.77,TRUE
"59",60,22.76,574092.97,300436.26,22.76,TRUE
"60",61,22.76,574111.51,300412.18,22.76,TRUE
"61",62,22.76,574120.83,300404.87,22.76,TRUE
"62",63,22.75,574139.28,300432.16,22.75,TRUE
"63",64,22.75,574090.83,300371.97,22.75,TRUE
"64",65,22.74,574177.18,300372.48,22.74,TRUE
"65",66,22.73,574085.53,300397.53,22.73,TRUE
"66",67,22.73,574091.94,300436.49,22.73,TRUE
"67",68,22.71,574110.68,300366.26,22.71,TRUE
"68",69,22.69,574127.56,300414.73,22.69,TRUE
"69",70,22.69,574109.8,300420.18,22.69,TRUE
"70",71,22.68,574101.27,300379.41,22.68,TRUE
"71",72,22.68,574106.05,300346.28,22.68,TRUE
"72",73,22.67,574078.98,300364.38,22.67,TRUE
"73",74,22.67,574172.5,300396.05,22.67,TRUE
"74",75,22.65,574086.98,300411.42,22.65,TRUE
"75",76,22.65,574106.94,300388.92,22.65,TRUE
"76",77,22.65,574143.61,300424.6,22.65,TRUE
"77",78,22.64,574162.63,300423.32,22.64,TRUE
"78",79,22.63,574093.55,300438.48,22.63,TRUE
"79",80,22.6,574079.04,300360.85,22.6,TRUE
"80",81,22.59,574112.26,300366.12,22.59,TRUE
