"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"1",1,39.7799,574015.7648,300734.7575,39.7799,TRUE
"2",2,30.7306,574239.2142,300763.6806,30.7306,TRUE
"3",3,30.5204,574136.3051,300600.0938,30.5204,TRUE
"4",4,30.0849,574242.2867,300763.5184,30.0849,TRUE
"5",5,30.0798,574241.2192,300761.6023,30.0798,TRUE
"6",6,29.2186,574246.8372,300763.874,29.2186,TRUE
"7",7,28.9518,574247.0595,300766.2471,28.9518,TRUE
"8",8,28.9067,574241.6751,300758.1064,28.9067,TRUE
"9",9,28.8703,574138.9659,300606.9145,28.8703,TRUE
"10",10,28.6343,574142.5066,300643.6212,28.6343,TRUE
"11",11,28.3961,574136.3306,300605.2977,28.3961,TRUE
"12",12,28.0267,574282.7016,300672.3655,28.0267,TRUE
"13",13,28.0076,574008.3096,300674.9119,28.0076,TRUE
"14",14,27.8359,574000.7518,300588.1631,27.8359,TRUE
"15",15,27.745,574257.1711,300705.2725,27.745,TRUE
"16",16,27.5884,574004.3262,300589.5999,27.5884,TRUE
"17",17,27.5755,574242.985,300816.1841,27.5755,TRUE
"18",18,27.5442,574244.0893,300779.0033,27.5442,TRUE
"19",19,27.5118,574004.1117,300586.2142,27.5118,TRUE
"20",20,27.4829,574002.6191,300679.9316,27.4829,TRUE
"21",21,27.4815,574025.639,300709.4549,27.4815,TRUE
"22",22,27.4074,574239.5714,300746.1819,27.4074,TRUE
"23",23,27.4009,574242.3173,300742.9454,27.4009,TRUE
"24",24,27.3985,574262.7144,300707.4389,27.3985,TRUE
"25",25,27.3929,574239.0626,300799.236,27.3929,TRUE
"26",26,27.3574,574249.7304,300768.2247,27.3574,TRUE
"27",27,27.355,574238.9989,300779.5503,27.355,TRUE
"28",28,27.3123,574248.9509,300758.6969,27.3123,TRUE
"29",29,27.2994,574250.0273,300703.077,27.2994,TRUE
"30",30,27.2761,574156.1045,300662.9353,27.2761,TRUE
"31",31,27.2643,574024.9683,300704.5872,27.2643,TRUE
"32",32,27.2041,574262.3872,300704.9672,27.2041,TRUE
"33",33,27.156,574233.9978,300748.5205,27.156,TRUE
"34",34,27.1417,574251.755,300760.8225,27.1417,TRUE
"35",35,27.1167,574139.9632,300641.5745,27.1167,TRUE
"36",36,27.0775,574234.8112,300745.796,27.0775,TRUE
"37",37,27.0491,574246.8174,300777.6567,27.0491,TRUE
"38",38,27.0448,574271.3175,300705.7786,27.0448,TRUE
"39",39,27.0438,574274.4943,300716.5726,27.0438,TRUE
"40",40,27.0271,574252.9537,300768.8089,27.0271,TRUE
"41",41,27.0188,574251.0747,300780.3007,27.0188,TRUE
"42",42,26.9989,574252.8755,300730.5746,26.9989,TRUE
"43",43,26.9939,574140.3572,300646.9006,26.9939,TRUE
"44",44,26.9687,574253.7033,300781.3442,26.9687,TRUE
"45",45,26.9142,574240.4609,300815.0019,26.9142,TRUE
"46",46,26.7639,574253.996,300771.0419,26.7639,TRUE
"47",47,26.7511,574238.7781,300751.1189,26.7511,TRUE
"48",48,26.733,574153.9579,300661.8172,26.733,TRUE
"49",49,26.7316,574245.1652,300819.7057,26.7316,TRUE
"50",50,26.7279,574156.346,300659.0074,26.7279,TRUE
"51",51,26.7238,574249.7569,300781.9321,26.7238,TRUE
"52",52,26.6318,574253.4027,300763.8399,26.6318,TRUE
"53",53,26.6126,574152.0843,300660.3993,26.6126,TRUE
"54",54,26.6036,574238.9487,300828.581,26.6036,TRUE
"55",55,26.5324,574053.774,300638.0281,26.5324,TRUE
"56",56,26.5172,574146.6964,300640.6398,26.5172,TRUE
"57",57,26.5139,574279.5388,300713.5006,26.5139,TRUE
"58",58,26.5064,574258.5266,300789.8095,26.5064,TRUE
"59",59,26.4998,574247.8232,300821.5706,26.4998,TRUE
"60",60,26.4994,574279.0823,300715.8649,26.4994,TRUE
